Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Snow Trails,Ohio,Ohio,1475,301,1174,0,0,0,0,4,2,3,9,17.0,3.0,0.2,80.0,80.0,101.0,58.0,50.0,52.0,70.0,80.0,16.0,0.2065439672801636,0.25,0.19002375296912116,5,0.042774892848893416,11.154240842368267,0.5294117647058824,0.1125,0.0,0.0
Anthony Lakes Mountain Resort,Oregon,Oregon,8000,900,7100,0,0,0,0,1,0,2,3,21.0,2.0,1.5,1100.0,,75.0,56.0,300.0,40.0,80.0,,110.0,0.0635593220338983,0.09090909090909093,,10,0.2370939676893083,10.164770936886935,0.14285714285714285,0.0027272727272727275,0.0,0.0
Cooper Spur,Mt. Hood,Oregon,4000,350,3500,0,0,0,0,0,1,1,2,10.0,,0.1,50.0,,78.0,66.0,100.0,39.0,90.0,,5.0,0.06610169491525424,,,10,0.2370939676893083,10.164770936886935,0.2,0.04,0.0,0.0
Hoodoo Ski Area,Oregon,Oregon,5703,1035,4668,0,0,0,3,1,1,0,5,34.0,,0.4,806.0,,80.0,81.0,350.0,59.0,108.0,200.0,80.6,0.06779661016949153,,0.1774622892635315,10,0.2370939676893083,10.164770936886935,0.14705882352941174,0.00620347394540943,0.0,0.0
Mt. Ashland,Oregon,Oregon,7533,1150,6383,0,0,0,0,2,2,1,5,23.0,2.0,1.0,220.0,,94.0,55.0,300.0,52.0,92.0,40.0,22.0,0.07966101694915254,0.09090909090909093,0.0354924578527063,10,0.2370939676893083,10.164770936886935,0.21739130434782608,0.022727272727272728,0.0,0.0
Mt. Bachelor,Oregon,Oregon,9065,3365,5700,0,0,8,0,3,0,0,11,101.0,5.0,4.0,4318.0,20.0,185.0,61.0,462.0,99.0,185.0,,431.8,0.15677966101694915,0.2272727272727273,,10,0.2370939676893083,10.164770936886935,0.10891089108910892,0.0025474756831866605,0.07920792079207921,0.0018527095877721167
Mt. Hood Skibowl,Mt. Hood,Oregon,5100,1500,3600,0,0,0,0,0,4,5,9,65.0,2.0,3.0,960.0,29.0,125.0,82.0,300.0,70.0,144.0,317.0,96.0,0.1059322033898305,0.09090909090909093,0.28127772848269744,10,0.2370939676893083,10.164770936886935,0.13846153846153847,0.009375,0.0,0.0
Willamette Pass,Oregon,Oregon,6683,1563,5120,0,1,0,0,3,0,1,5,29.0,,2.1,555.0,60.0,3.0,78.0,430.0,60.0,100.0,,55.5,0.002542372881355932,,,10,0.2370939676893083,10.164770936886935,0.1724137931034483,0.009009009009009007,0.0,0.0
Bear Creek Mountain Resort,Pennsylvania,Pennsylvania,1100,510,600,0,0,0,3,1,0,2,6,23.0,3.0,1.0,86.0,86.0,91.0,52.0,30.0,60.0,90.0,86.0,4.526315789473684,0.06481481481481481,0.06382978723404255,0.056282722513089,19,0.14841443778775315,41.25591696703869,0.2608695652173913,0.06976744186046513,0.0,0.0
Ski Big Bear,Pennsylvania,Pennsylvania,1250,650,600,0,0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,75.0,43.0,69.0,62.0,75.0,26.0,1.368421052631579,0.053418803418803416,0.02127659574468085,0.017015706806282727,19,0.14841443778775315,41.25591696703869,0.3333333333333333,0.2307692307692308,0.0,0.0
Big Boulder,Pennsylvania,Pennsylvania,2175,600,1700,0,0,0,0,2,5,1,8,16.0,8.0,,55.0,55.0,76.0,72.0,50.0,65.0,95.0,55.0,2.8947368421052637,0.05413105413105413,0.1702127659574468,0.03599476439790576,19,0.14841443778775315,41.25591696703869,0.5,0.14545454545454545,0.0,0.0
Blue Knob,Pennsylvania,Pennsylvania,3146,1072,2074,0,0,0,0,2,2,2,6,34.0,1.0,2.0,100.0,84.0,87.0,56.0,120.0,68.0,105.0,42.0,5.2631578947368425,0.061965811965811975,0.02127659574468085,0.0274869109947644,19,0.14841443778775315,41.25591696703869,0.17647058823529413,0.06,0.0,0.0
Blue Mountain Resort,Pennsylvania,Pennsylvania,1600,1082,460,0,1,1,1,1,3,9,16,39.0,5.0,1.2,164.0,164.0,122.0,42.0,33.0,65.0,112.0,164.0,8.631578947368421,0.0868945868945869,0.10638297872340426,0.10732984293193716,19,0.14841443778775315,41.25591696703869,0.41025641025641024,0.0975609756097561,0.02564102564102564,0.006097560975609756
Camelback Mountain Resort,Pennsylvania,Pennsylvania,2100,800,1250,0,0,2,0,3,5,6,16,37.0,5.0,1.0,166.0,166.0,100.0,56.0,50.0,70.0,100.0,160.0,8.736842105263158,0.07122507122507123,0.10638297872340426,0.10471204188481677,19,0.14841443778775315,41.25591696703869,0.4324324324324325,0.0963855421686747,0.054054054054054064,0.012048192771084338
Elk Mountain Ski Resort,Pennsylvania,Pennsylvania,2693,1000,1693,0,0,0,1,0,5,1,7,27.0,2.0,0.7,180.0,146.0,,60.0,60.0,69.0,100.0,90.0,9.473684210526317,,0.0425531914893617,0.058900523560209424,19,0.14841443778775315,41.25591696703869,0.25925925925925924,0.03888888888888889,0.0,0.0
Jack Frost,Pennsylvania,Pennsylvania,2000,600,1400,0,0,0,1,2,5,1,9,20.0,1.0,1.0,100.0,100.0,96.0,47.0,50.0,65.0,105.0,,5.2631578947368425,0.06837606837606837,0.02127659574468085,,19,0.14841443778775315,41.25591696703869,0.45,0.09,0.0,0.0
Liberty,Pennsylvania,Pennsylvania,1190,620,570,0,0,0,5,0,0,3,8,16.0,3.0,1.0,100.0,100.0,107.0,54.0,31.0,77.0,97.0,100.0,5.2631578947368425,0.07621082621082621,0.06382978723404255,0.06544502617801047,19,0.14841443778775315,41.25591696703869,0.5,0.08,0.0,0.0
Mount Pleasant of Edinboro,Pennsylvania,Pennsylvania,1540,340,1200,0,0,0,0,1,0,1,2,10.0,,0.5,40.0,35.0,75.0,48.0,100.0,33.0,90.0,35.0,2.1052631578947367,0.053418803418803416,,0.02290575916230366,19,0.14841443778775315,41.25591696703869,0.2,0.05,0.0,0.0
Roundtop Mountain Resort,Pennsylvania,Pennsylvania,1400,600,800,0,0,0,3,2,0,3,8,20.0,2.0,0.4,103.0,103.0,,55.0,30.0,73.0,,100.0,5.421052631578949,,0.0425531914893617,0.06544502617801047,19,0.14841443778775315,41.25591696703869,0.4,0.07766990291262135,0.0,0.0
Seven Springs,Pennsylvania,Pennsylvania,2994,750,2240,0,2,0,3,5,0,4,14,33.0,7.0,1.2,285.0,285.0,99.0,87.0,135.0,87.0,115.0,200.0,15.0,0.07051282051282051,0.14893617021276595,0.13089005235602094,19,0.14841443778775315,41.25591696703869,0.42424242424242425,0.04912280701754386,0.0,0.0
Shawnee Mountain Ski Area,Pennsylvania,Pennsylvania,1350,700,650,0,0,1,1,0,4,4,10,23.0,2.0,1.6,125.0,125.0,100.0,44.0,50.0,65.0,122.0,120.0,6.578947368421053,0.07122507122507123,0.0425531914893617,0.07853403141361258,19,0.14841443778775315,41.25591696703869,0.43478260869565216,0.08,0.043478260869565216,0.008
Ski Sawmill,Pennsylvania,Pennsylvania,2215,515,1700,0,0,0,0,1,1,3,5,14.0,1.0,0.1,15.0,13.0,,50.0,24.0,44.0,90.0,15.0,0.7894736842105263,,0.02127659574468085,0.00981675392670157,19,0.14841443778775315,41.25591696703869,0.35714285714285715,0.3333333333333333,0.0,0.0
Tussey Mountain,Pennsylvania,Pennsylvania,1750,520,1230,0,0,0,1,0,1,3,5,8.0,1.0,0.3,38.0,30.0,100.0,39.0,41.0,45.0,100.0,30.0,2.0,0.07122507122507123,0.02127659574468085,0.01963350785340314,19,0.14841443778775315,41.25591696703869,0.625,0.13157894736842105,0.0,0.0
Whitetail Resort,Pennsylvania,Pennsylvania,1800,935,865,0,0,1,3,0,2,2,8,23.0,2.0,1.0,120.0,120.0,116.0,28.0,40.0,71.0,100.0,120.0,6.315789473684211,0.08262108262108261,0.0425531914893617,0.07853403141361258,19,0.14841443778775315,41.25591696703869,0.3478260869565217,0.06666666666666668,0.043478260869565216,0.008333333333333333
